"n_digits","upper","value","n_guesses","time"
5,10000,4602,9914,9.71702
5,10000,1559,9932,9.58881
5,10000,2872,9898,9.56785
5,10000,9574,9709,9.37672
5,10000,7475,9555,9.19846
5,10000,5925,9308,8.99949
5,10000,990,9124,8.80652
5,10000,1870,9006,8.65952
5,10000,4578,8894,8.65846
5,10000,9460,8932,8.56928
5,10000,3275,8742,8.4362
5,10000,5120,8832,8.41283
5,10000,6714,8803,8.39534
5,10000,4714,8783,8.39134
5,10000,333,8727,8.36781
5,10000,5143,8599,8.29315
5,10000,6076,8581,8.27464
5,10000,7839,8641,8.23964
5,10000,4502,8440,8.04927
5,10000,5087,8082,7.92551
5,10000,4842,8140,7.70933
5,10000,399,8034,7.64564
5,10000,96,8017,7.56425
5,10000,9243,7823,7.40023
5,10000,7448,7618,7.38762
5,10000,995,7855,7.36361
5,10000,2575,7723,7.3359
5,10000,6326,7674,7.27215
5,10000,6646,7551,7.17269
5,10000,8781,7630,7.16837
5,10000,703,7508,7.15879
5,10000,1170,7533,7.15668
5,10000,8737,7613,7.15307
5,10000,722,7491,7.05524
5,10000,9870,7431,7.01364
5,10000,8208,7402,6.95839
5,10000,9395,7352,6.94885
5,10000,8069,7339,6.91112
5,10000,8551,7286,6.8929
5,10000,9276,7373,6.89209
5,10000,5073,7049,6.59603
5,10000,8033,6641,6.50639
5,10000,8553,6984,6.48538
5,10000,9210,6871,6.37857
5,10000,499,6375,5.97875
5,10000,3070,6406,5.9576
5,10000,8715,6349,5.87046
5,10000,3787,5986,5.64353
5,10000,3584,6067,5.6349
5,10000,3030,5960,5.53474
5,10000,5092,5865,5.44005
5,10000,9945,5872,5.42456
5,10000,3072,5717,5.29331
5,10000,3186,5557,5.15924
5,10000,6895,5570,5.07896
5,10000,1886,5535,5.0309
5,10000,5568,5431,4.96594
5,10000,8378,5420,4.94833
5,10000,3420,4792,4.89949
5,10000,5911,5395,4.8972
5,10000,1081,5194,4.78348
5,10000,9825,5149,4.65108
5,10000,9491,5091,4.59341
5,10000,5920,4966,4.561
5,10000,5610,4868,4.42755
5,10000,8303,4765,4.29521
5,10000,4395,4732,4.22503
5,10000,8040,4622,4.16605
5,10000,6161,4587,4.12286
5,10000,2090,4422,4.01904
5,10000,4650,4356,3.92893
5,10000,9181,4227,3.8753
5,10000,395,4220,3.76343
5,10000,1282,4158,3.74527
5,10000,4869,4123,3.74219
5,10000,2900,4197,3.70946
5,10000,1014,3996,3.58767
5,10000,2718,3833,3.42433
5,10000,6763,3819,3.40381
5,10000,399,3650,3.35629
5,10000,1148,3659,3.29045
5,10000,156,3597,3.25736
5,10000,659,3270,2.86049
5,10000,4394,3014,2.67512
5,10000,7698,2848,2.54257
5,10000,3368,2753,2.46871
5,10000,1879,2790,2.44895
5,10000,885,2760,2.38642
5,10000,4204,2657,2.3565
5,10000,2646,2628,2.32375
5,10000,5836,2596,2.26831
5,10000,9141,2303,2.10128
5,10000,9906,2262,1.98921
5,10000,5684,2187,1.95622
5,10000,8256,2134,1.91414
5,10000,4660,2156,1.91225
5,10000,6449,2021,1.80411
5,10000,1329,1932,1.68232
5,10000,1668,1822,1.62522
5,10000,8304,1733,1.61364
5,10000,6745,1683,1.5678
5,10000,9208,1704,1.54733
5,10000,334,1777,1.54172
5,10000,2855,1624,1.43812
5,10000,2007,1613,1.419
5,10000,6361,1504,1.35081
5,10000,6657,1454,1.26679
5,10000,3736,1360,1.19865
5,10000,3394,1148,0.9937
5,10000,3276,1088,0.96126
5,10000,8417,1038,0.89984
5,10000,4515,878,0.79036
5,10000,4842,790,0.69719
5,10000,4558,719,0.64093
5,10000,5460,718,0.60785
5,10000,4415,660,0.56223
5,10000,9516,533,0.46108
5,10000,5412,445,0.43072
5,10000,8903,389,0.32064
5,10000,4,245,0.25183
5,10000,6068,237,0.20434
4,1000,694,842,0.20311
4,1000,887,907,0.17903
4,1000,125,992,0.17648
4,1000,921,991,0.17641
4,1000,813,999,0.1755
4,1000,357,933,0.17212
4,1000,621,959,0.1706
4,1000,938,911,0.16903
4,1000,805,987,0.16887
4,1000,302,944,0.16819
4,1000,180,946,0.16754
4,1000,628,853,0.16041
4,1000,747,894,0.15847
4,1000,593,876,0.15715
4,1000,513,889,0.1557
4,1000,702,848,0.15214
4,1000,387,838,0.15068
4,1000,57,853,0.1501
4,1000,930,739,0.14881
4,1000,705,822,0.14841
4,1000,356,804,0.14645
4,1000,196,854,0.14331
4,1000,589,784,0.14325
4,1000,229,806,0.14234
4,1000,506,820,0.14156
4,1000,557,800,0.14139
4,1000,394,824,0.14094
4,1000,28,807,0.13942
4,1000,791,784,0.13818
4,1000,46,790,0.13772
4,1000,204,790,0.13758
4,1000,188,752,0.13583
4,1000,146,720,0.13429
4,1000,663,730,0.13428
4,1000,386,743,0.1304
4,1000,511,707,0.12782
4,1000,800,715,0.12757
4,1000,915,689,0.12619
4,1000,122,686,0.12521
4,1000,482,692,0.12514
4,1000,225,675,0.12303
4,1000,5,667,0.12301
4,1000,646,371,0.12289
4,1000,515,652,0.12281
4,1000,935,700,0.12009
4,1000,259,640,0.1193
4,1000,768,663,0.11927
4,1000,11,678,0.11919
4,1000,190,656,0.11819
4,1000,768,621,0.11745
4,1000,856,616,0.11666
4,1000,13,651,0.11608
4,1000,745,600,0.11545
4,1000,578,626,0.11535
4,1000,959,638,0.11473
4,1000,177,624,0.1143
4,1000,477,618,0.11398
4,1000,297,610,0.11377
4,1000,105,639,0.11258
4,1000,173,594,0.11247
4,1000,378,619,0.11201
4,1000,740,593,0.11149
4,1000,885,611,0.10898
4,1000,371,580,0.10852
4,1000,972,586,0.10716
4,1000,259,548,0.10512
4,1000,403,583,0.10463
4,1000,977,576,0.10206
4,1000,616,470,0.09997
4,1000,77,551,0.09867
4,1000,216,492,0.09722
4,1000,546,512,0.0946
4,1000,51,481,0.09206
4,1000,786,474,0.09142
4,1000,381,481,0.08986
4,1000,802,387,0.08249
4,1000,943,416,0.08196
4,1000,778,405,0.08034
4,1000,441,397,0.07966
4,1000,606,426,0.07907
4,1000,301,435,0.07874
4,1000,60,420,0.07577
4,1000,935,417,0.07563
4,1000,175,382,0.07541
4,1000,39,407,0.0748
4,1000,483,368,0.07297
4,1000,928,381,0.07277
4,1000,871,376,0.07034
4,1000,950,336,0.06598
4,1000,656,339,0.0657
4,1000,510,327,0.06445
4,1000,947,324,0.06428
4,1000,817,315,0.06275
4,1000,675,321,0.06201
4,1000,953,311,0.05918
5,10000,8714,68,0.05913
4,1000,799,278,0.05824
4,1000,846,273,0.05666
4,1000,532,270,0.05125
4,1000,534,243,0.05006
4,1000,484,255,0.04878
4,1000,949,255,0.04821
4,1000,599,247,0.04608
4,1000,863,241,0.04564
4,1000,456,226,0.04489
4,1000,630,223,0.04406
4,1000,613,209,0.04209
4,1000,542,200,0.04094
4,1000,708,202,0.04016
4,1000,612,194,0.03958
4,1000,794,200,0.03763
4,1000,117,186,0.03615
4,1000,123,180,0.03532
4,1000,553,184,0.03523
4,1000,662,170,0.03475
4,1000,633,156,0.03107
4,1000,642,127,0.02533
4,1000,829,104,0.02474
4,1000,128,97,0.02041
4,1000,39,114,0.0203
4,1000,331,109,0.02013
4,1000,166,91,0.01922
4,1000,878,89,0.01908
4,1000,218,103,0.01903
4,1000,306,97,0.01796
4,1000,795,90,0.01778
4,1000,986,84,0.01762
4,1000,433,71,0.01635
4,1000,389,63,0.01592
3,100,66,96,0.01482
3,100,68,98,0.01482
3,100,9,88,0.01459
3,100,25,87,0.01434
3,100,41,99,0.01415
3,100,97,89,0.01363
3,100,6,79,0.01341
3,100,31,88,0.01308
3,100,61,88,0.01302
3,100,51,87,0.013
3,100,81,91,0.0129
3,100,81,81,0.01289
4,1000,217,66,0.01288
3,100,50,94,0.01267
3,100,73,88,0.01261
3,100,42,84,0.01252
3,100,16,95,0.01244
3,100,56,79,0.01236
3,100,34,95,0.01232
3,100,12,86,0.01214
3,100,72,89,0.01174
3,100,98,74,0.01172
3,100,93,79,0.01145
3,100,18,70,0.01115
4,1000,892,60,0.01096
3,100,10,78,0.01095
3,100,63,70,0.01094
3,100,56,81,0.01075
3,100,82,77,0.01064
3,100,95,80,0.01057
3,100,59,76,0.01031
4,1000,844,61,0.01023
3,100,30,71,0.01023
3,100,67,66,0.0102
3,100,1,73,0.0101
3,100,79,78,0.01006
3,100,3,67,0.00986
3,100,91,75,0.00982
3,100,83,67,0.0091
3,100,49,61,0.00905
3,100,96,44,0.00897
3,100,69,61,0.00891
3,100,72,65,0.00877
3,100,58,57,0.00877
3,100,41,59,0.00875
3,100,8,63,0.0085
3,100,87,61,0.00844
3,100,69,48,0.00842
3,100,84,62,0.00818
3,100,42,58,0.00818
3,100,71,45,0.00807
3,100,55,59,0.00789
3,100,84,48,0.00765
3,100,51,53,0.00764
3,100,99,42,0.00763
3,100,51,55,0.00732
3,100,42,55,0.00731
3,100,68,51,0.00725
3,100,11,54,0.00715
3,100,70,50,0.00692
3,100,89,50,0.00675
3,100,7,50,0.0067
3,100,22,33,0.00668
3,100,27,47,0.00658
3,100,24,47,0.00657
3,100,23,47,0.00648
3,100,78,40,0.00646
3,100,40,46,0.00636
3,100,99,49,0.00632
3,100,1,44,0.00623
3,100,25,41,0.00615
3,100,64,32,0.00613
3,100,98,36,0.00589
3,100,39,41,0.00565
3,100,71,38,0.00559
3,100,35,40,0.00556
2,10,9,33,0.00549
3,100,63,38,0.00539
3,100,67,30,0.00538
3,100,12,37,0.00524
3,100,46,37,0.00519
3,100,3,34,0.00512
3,100,94,30,0.00487
3,100,2,27,0.00482
3,100,2,32,0.00476
3,100,77,37,0.00466
3,100,89,33,0.00465
3,100,24,32,0.00459
3,100,84,31,0.00447
3,100,23,30,0.00441
3,100,84,34,0.00439
3,100,57,35,0.00435
3,100,62,30,0.00435
3,100,29,27,0.00432
3,100,32,27,0.00418
3,100,19,32,0.00415
3,100,72,31,0.00412
4,1000,479,24,0.00401
3,100,87,20,0.00393
3,100,1,24,0.00363
3,100,59,26,0.00356
3,100,26,24,0.00352
4,1000,196,20,0.00352
3,100,93,28,0.00348
3,100,31,22,0.00346
2,10,5,23,0.00323
3,100,80,25,0.00323
3,100,92,25,0.0032
3,100,80,20,0.00312
3,100,10,23,0.00309
2,10,3,19,0.00284
3,100,15,21,0.00281
3,100,48,20,0.0028
2,10,10,22,0.00279
3,100,3,20,0.00276
3,100,57,21,0.00269
3,100,37,20,0.00259
3,100,28,19,0.0024
3,100,75,15,0.00239
3,100,69,18,0.00231
2,10,8,13,0.00203
2,10,2,11,0.00199
3,100,60,14,0.00198
3,100,95,14,0.00198
3,100,23,14,0.00193
2,10,7,10,0.00186
2,10,2,12,0.00175
3,100,48,12,0.00173
2,10,4,13,0.00171
2,10,3,11,0.0017
2,10,1,6,0.00161
2,10,6,12,0.0016
2,10,10,12,0.00155
2,10,4,11,0.00149
3,100,26,11,0.00148
2,10,6,11,0.00146
2,10,6,10,0.00142
2,10,3,8,0.00142
2,10,4,7,0.00141
2,10,5,10,0.00139
3,100,98,10,0.00135
2,10,3,8,0.00135
2,10,1,9,0.0013
2,10,1,10,0.00128
3,100,94,6,0.00127
2,10,10,9,0.00125
2,10,9,9,0.00124
2,10,6,9,0.00123
3,100,11,9,0.00123
2,10,4,5,0.00122
3,100,87,9,0.00122
2,10,7,9,0.0012
2,10,1,9,0.00119
2,10,4,9,0.00118
2,10,8,9,0.00118
2,10,3,8,0.00117
3,100,28,8,0.00112
2,10,7,8,0.00111
2,10,5,8,0.0011
3,100,98,8,0.0011
2,10,10,6,0.00109
2,10,1,7,0.00109
2,10,10,8,0.00108
2,10,10,8,0.00107
2,10,5,8,0.00106
2,10,2,8,0.00106
2,10,9,8,0.00105
2,10,1,8,0.00105
2,10,1,8,0.00105
3,100,63,7,0.001
4,1000,608,6,0.00097
2,10,8,7,0.00094
2,10,7,7,0.00093
2,10,3,6,0.00089
3,100,89,6,0.00087
2,10,3,6,0.00087
2,10,6,4,0.00086
2,10,10,6,0.00084
2,10,10,6,0.00084
2,10,1,6,0.00084
2,10,7,6,0.00084
2,10,3,6,0.00084
2,10,3,6,0.00083
2,10,3,6,0.00083
2,10,10,6,0.00081
2,10,6,3,0.00077
2,10,8,5,0.00076
2,10,6,3,0.00076
3,100,99,3,0.00075
2,10,7,5,0.00072
3,100,39,5,0.00072
2,10,5,4,0.00071
2,10,10,5,0.00069
2,10,1,5,0.00069
2,10,2,5,0.00068
2,10,2,5,0.00068
2,10,4,5,0.00067
2,10,4,5,0.00067
2,10,7,4,0.00062
2,10,3,4,0.00061
2,10,6,4,0.00061
2,10,10,4,6e-04
3,100,64,4,0.00057
2,10,8,4,0.00057
2,10,1,4,0.00057
2,10,3,4,0.00057
3,100,21,4,0.00057
2,10,4,4,0.00057
2,10,4,4,0.00056
2,10,2,2,0.00056
2,10,7,4,0.00055
2,10,9,4,0.00055
2,10,6,4,0.00054
2,10,3,3,0.00046
2,10,4,3,0.00045
2,10,3,3,0.00043
2,10,10,3,0.00043
2,10,3,3,0.00043
2,10,9,3,0.00043
2,10,3,3,0.00042
2,10,8,3,0.00041
4,1000,750,2,0.00034
2,10,2,2,0.00031
2,10,3,2,0.00031
2,10,7,2,3e-04
2,10,4,2,3e-04
2,10,3,2,3e-04
2,10,10,2,3e-04
2,10,9,2,0.00029
2,10,2,2,0.00029
2,10,5,2,0.00029
2,10,1,2,0.00029
2,10,9,2,0.00029
2,10,4,2,0.00029
2,10,10,1,2e-04
2,10,1,1,0.00017
2,10,6,1,0.00016
2,10,1,1,0.00016
2,10,7,1,0.00015
2,10,4,1,0.00015
2,10,1,1,0.00015
2,10,6,1,0.00015
2,10,3,1,0.00015
3,100,19,1,0.00015
2,10,9,1,0.00015
2,10,10,1,0.00015
2,10,2,1,0.00014
2,10,7,1,0.00014
3,100,24,1,0.00014
2,10,10,1,0.00014
